SOS_ID,ITEM_ID,SENT_ID,SENTENCE,sent_len,CONDITION,TARGET_WORD,SENT_COND
SR4a_06,6,21,La donna cieca era stata operata parecchie volte. Il dottore era molto ottimista sui risultati dell'operazione. La sua vista migliorò quella notte.,22,PLAUS_NOCONN,migliorò,SC1
SR1a_06,6,22,La donna cieca era stata operata parecchie volte. Il dottore era molto deluso dai risultati dell'operazione. La sua vista migliorò quella notte.,22,IMPLAUS_NOCONN,migliorò,SC2
SR2a_06,6,23,"La donna cieca era stata operata parecchie volte. Il dottore era molto ottimista sui risultati. Tuttavia, la sua vista migliorò subito dopo.",22,IMPLAUS_CONN,migliorò,SC3
SR3a_06,6,24,"La donna cieca era stata operata parecchie volte. Il dottore era molto deluso dai risultati. Tuttavia, la sua vista migliorò subito dopo.",22,PLAUS_CONN,migliorò,SC4
SR3a_07,7,25,Il cane correva in una trafficata strada principale. L'auto stava accelerando e lo ha investito. Il cane si è ferito molto gravemente.,22,PLAUS_NOCONN,ferito,SC1
SR4a_07,7,26,"Il cane correva in una strada trafficata. Fortunatamente, l'auto ha sterzato e lo ha mancato. Il cane si è ferito molto gravemente.",22,IMPLAUS_NOCONN,ferito,SC2
SR1a_07,7,27,"Il cane correva in una strada trafficata. L'auto stava accelerando e lo ha investito. Tuttavia, il cane si è ferito molto gravemente.",22,IMPLAUS_CONN,ferito,SC3
SR2a_07,7,28,"Il cane correva in una strada. Fortunatamente, l'auto ha sterzato e lo ha mancato. Tuttavia, il cane si è ferito molto gravemente.",22,PLAUS_CONN,ferito,SC4
SR2a_08,8,29,Elisabetta ha sostenuto un esame oggi. Ha fatto il test e l'ha superato. È tornata a casa e ha festeggiato quella sera.,22,PLAUS_NOCONN,festeggiato,SC1
SR3a_08,8,30,Elisabetta ha sostenuto un esame oggi. Ha fatto il test e l'ha fallito. È tornata a casa e ha festeggiato quella sera.,22,IMPLAUS_NOCONN,festeggiato,SC2
SR4a_08,8,31,"Elisabetta ha sostenuto un esame. Ha fatto il test e l'ha superato. Tuttavia, è tornata a casa e ha festeggiato quella sera.",22,IMPLAUS_CONN,festeggiato,SC3
SR1a_08,8,32,"Elisabetta ha sostenuto un esame. Ha fatto il test e l'ha fallito. Tuttavia, è tornata a casa e ha festeggiato quella sera.",22,PLAUS_CONN,festeggiato,SC4
SR1a_09,9,33,La star di Broadway doveva fare un assolo nel musical. Ha cantato il pezzo magnificamente bene. Il pubblico ha applaudito molto energicamente.,22,PLAUS_NOCONN,applaudito,SC1
SR2a_09,9,34,La star di Broadway doveva fare un assolo nel musical. Ha cantato il pezzo davvero male. Il pubblico ha applaudito molto energicamente.,22,IMPLAUS_NOCONN,applaudito,SC2
SR3a_09,9,35,"La star di Broadway doveva fare un assolo nel musical. Ha cantato il pezzo magnificamente. Tuttavia, il pubblico ha applaudito molto energicamente.",22,IMPLAUS_CONN,applaudito,SC3
SR4a_09,9,36,"La star di Broadway doveva fare un assolo nel musical. Ha cantato il pezzo male. Tuttavia, il pubblico ha applaudito molto energicamente.",22,PLAUS_CONN,applaudito,SC4
SR3a_11,11,41,I funzionari della città sono stati portati in tribunale. Il giudice si è pronunciato contro di loro. Sono stati imprigionati immediatamente dopo,22,PLAUS_NOCONN,imprigionati,SC1
SR4a_11,11,42,I funzionari della città sono stati portati in tribunale. Il giudice si è pronunciato in loro favore. Sono stati imprigionati immediatamente dopo.,22,IMPLAUS_NOCONN,imprigionati,SC2
SR1a_11,11,43,"I funzionari comunali sono stati portati in tribunale. Il giudice si è pronunciato contro di loro. Tuttavia, sono stati imprigionati immediatamente dopo.",22,IMPLAUS_CONN,imprigionati,SC3
SR2a_11,11,44,"I funzionari comunali sono stati portati in tribunale. Il giudice si è pronunciato in loro favore. Tuttavia, sono stati imprigionati immediatamente dopo.",22,PLAUS_CONN,imprigionati,SC4
SR2a_12,12,45,Silvia e Franco stavano giocando d'azzardo e bevevano insieme al casinò. Vinsero tutte le partite di blackjack. Erano entrambi felici quella notte.,22,PLAUS_NOCONN,felici,SC1
SR3a_12,12,46,Silvia e Franco stavano giocando d'azzardo e bevevano insieme al casinò. Nessuno dei due vinse al blackjack. Erano entrambi felici quella notte.,22,IMPLAUS_NOCONN,felici,SC2
SR4a_12,12,47,"Silvia e Franco stavano giocando d'azzardo e bevevano al casinò. Vinsero tutte le partite di blackjack. Tuttavia, erano entrambi felici quella notte.",22,IMPLAUS_CONN,felici,SC3
SR1a_12,12,48,"Silvia e Franco stavano giocando d'azzardo e bevevano al casinò. Nessuno dei due vinse al blackjack. Tuttavia, erano entrambi felici quella notte.",22,PLAUS_CONN,felici,SC4
SR1a_13,13,49,Alice è andata in campeggio durante le vacanze estive. È stata morsa da molte zanzare. Ha iniziato a sentire prurito quella notte.,22,PLAUS_NOCONN,prurito,SC1
SR2a_13,13,50,Alice è andata in campeggio durante le vacanze. Ha usato un repellente per le zanzare. Ha iniziato a sentire prurito quella notte.,22,IMPLAUS_NOCONN,prurito,SC2
SR3a_13,13,51,"Alice è andata in campeggio durante le vacanze estive. È stata morsa dalle zanzare. Tuttavia, ha iniziato a sentire prurito quella notte.",22,IMPLAUS_CONN,prurito,SC3
SR4a_13,13,52,"Alice è andata in campeggio durante le vacanze. Ha usato un ottimo repellente per le zanzare. Tuttavia, ha sentito prurito quella notte.",22,PLAUS_CONN,prurito,SC4
SR4a_14,14,53,Uno scout è venuto a vedere Paolo giocare a baseball nel fine settimana. Ha lanciato molto bene. È stato firmato dalla squadra.,22,PLAUS_NOCONN,firmato,SC1
SR1a_14,14,54,Uno scout è venuto a vedere Paolo giocare a baseball al parco. Ha lanciato in modo pessimo. È stato firmato dalla squadra.,22,IMPLAUS_NOCONN,firmato,SC2
SR2a_14,14,55,"Uno scout è venuto a vedere Paolo giocare a baseball al parco. Ha lanciato molto bene. Tuttavia, è stato firmato dalla squadra.",22,IMPLAUS_CONN,firmato,SC3
SR3a_14,14,56,"Uno scout è venuto a vedere Paolo giocare a baseball. Ha lanciato in modo davvero pessimo. Tuttavia, è stato firmato dalla squadra.",22,PLAUS_CONN,firmato,SC4
SR3a_15,15,57,L'eremita viveva da solo in una grotta buia. Non faceva il bagno da mesi. I suoi capelli sembravano molto sporchi e disordinati.,22,PLAUS_NOCONN,sporchi,SC1
SR4a_15,15,58,L'eremita viveva in una grotta buia. Si lavava in un fiume di montagna ogni giorno. I suoi capelli sembravano sporchi e disordinati.,22,IMPLAUS_NOCONN,sporchi,SC2
SR1a_15,15,59,"L'eremita viveva da solo in una grotta buia. Non faceva il bagno da mesi. Tuttavia, i suoi capelli sembravano sporchi e disordinati.",22,IMPLAUS_CONN,sporchi,SC3
SR2a_15,15,60,"L'eremita viveva in una grotta. Si lavava in un fiume di montagna ogni giorno. Tuttavia, i suoi capelli sembravano sporchi e disordinati.",22,PLAUS_CONN,sporchi,SC4
SR1a_17,17,65,Giacomo ha avuto un problema legato al cibo. Aveva praticamente smesso di mangiare per diverse settimane. È diventato davvero magro molto velocemente.,22,PLAUS_NOCONN,magro,SC1
SR2a_17,17,66,Giacomo ha avuto un problema legato al cibo. Non riusciva a smettere di mangiare un giorno. È diventato davvero magro molto velocemente.,22,IMPLAUS_NOCONN,magro,SC2
SR3a_17,17,67,"Giacomo ha avuto un problema legato al cibo. Aveva praticamente smesso di mangiare un giorno. Tuttavia, è diventato davvero magro molto velocemente.",22,IMPLAUS_CONN,magro,SC3
SR4a_17,17,68,"Giacomo ha avuto un problema legato al cibo. Non riusciva a smettere di mangiare ogni giorno. Tuttavia, è diventato magro molto velocemente.",22,PLAUS_CONN,magro,SC4
SR3a_19,19,73,La compagnia telefonica aveva seri problemi finanziari quell'anno. Aveva perso molti clienti durante l'ultimo semestre. I suoi profitti sono diminuiti poco dopo.,22,PLAUS_NOCONN,diminuiti,SC1
SR4a_19,19,74,La compagnia telefonica aveva avuto molto successo quell'anno. Aveva guadagnato molti clienti durante l'ultimo semestre. I suoi profitti sono diminuiti poco dopo.,22,IMPLAUS_NOCONN,diminuiti,SC2
SR1a_19,19,75,"La compagnia telefonica aveva problemi finanziari quell'anno. Aveva perso molti clienti durante l'ultimo semestre. Tuttavia, i suoi profitti sono diminuiti poco dopo.",22,IMPLAUS_CONN,diminuiti,SC3
SR2a_19,19,76,"La compagnia telefonica aveva avuto successo quell'anno. Aveva guadagnato molti clienti durante l'ultimo semestre. Tuttavia, i suoi profitti sono diminuiti poco dopo.",22,PLAUS_CONN,diminuiti,SC4
SR2a_20,20,77,Gianni si metteva nei guai a scuola molto spesso. Sembrava depresso e non aveva amici. I suoi genitori erano preoccupati per lui.,22,PLAUS_NOCONN,preoccupati,SC1
SR3a_20,20,78,Gianni non dava mai alcun problema a scuola. Era sempre allegro e aveva molti amici. I suoi genitori erano preoccupati per lui.,22,IMPLAUS_NOCONN,preoccupati,SC2
SR4a_20,20,79,"Gianni prendeva voti molto bassi a scuola. Sembrava depresso e non aveva amici. Tuttavia, i suoi genitori erano molto preoccupati per lui.",22,IMPLAUS_CONN,preoccupati,SC3
SR1a_20,20,80,"Gianni prendeva buoni voti a scuola. Era sempre allegro e aveva molti amici. Tuttavia, i suoi genitori erano molto preoccupati per lui.",22,PLAUS_CONN,preoccupati,SC4
SR1a_21,21,81,I due paesi erano in guerra da anni. I leader decisero di firmare il cessate il fuoco. Il conflitto finì poco dopo.,22,PLAUS_NOCONN,finì,SC1
SR2a_21,21,82,I due paesi erano in guerra da anni. I leader respinsero la proposta di cessate il fuoco. Il conflitto finì poco dopo.,22,IMPLAUS_NOCONN,finì,SC2
SR3a_21,21,83,"I paesi erano in guerra da anni. I leader decisero di firmare la proposta di armistizio. Tuttavia, il conflitto finì poco dopo.",22,IMPLAUS_CONN,finì,SC3
SR4a_21,21,84,"I paesi erano in guerra da anni. I leader respinsero la proposta di cessate il fuoco. Tuttavia, il conflitto finì poco dopo.",22,PLAUS_CONN,finì,SC4
SR3a_23,23,89,La famosa violinista era sicura della sua performance. Ha interpretato il pezzo in modo eccezionale al concerto. Tutti avevano esultato per lei.,22,PLAUS_NOCONN,esultato,SC1
SR4a_23,23,90,La famosa violinista era abbastanza nervosa durante la performance. Fece molti errori evidenti e imbarazzanti mentre suonava. Tutti avevano esultato per lei.,22,IMPLAUS_NOCONN,esultato,SC2
SR1a_23,23,91,"La famosa violinista era sicura della sua performance. Ha interpretato il pezzo in modo davvero eccezionale. Tuttavia, tutti avevano esultato per lei.",22,IMPLAUS_CONN,esultato,SC3
SR2a_23,23,92,"La famosa violinista era nervosa durante la performance. Fece molti errori evidenti e imbarazzanti mentre suonava. Tuttavia, tutti avevano esultato per lei.",22,PLAUS_CONN,esultato,SC4
SR2a_24,24,93,La sarta stava appuntando l'abito di Tobia in negozio. Era sempre sbrigativa e negligente con gli spilli. Tobia venne punto molte volte.,22,PLAUS_NOCONN,punto,SC1
SR3a_24,24,94,La sarta stava appuntando l'abito di Tobia in negozio. Era sempre molto attenta nel maneggiare gli spilli. Tobia venne punto molte volte.,22,IMPLAUS_NOCONN,punto,SC2
SR4a_24,24,95,"La sarta stava appuntando l'abito di Tobia in negozio. Era sbrigativa e negligente con gli spilli. Tuttavia, Tobia venne punto molte volte.",22,IMPLAUS_CONN,punto,SC3
SR1a_24,24,96,"La sarta stava appuntando l'abito di Tobia in negozio. Era sempre molto attenta con gli spilli. Tuttavia, Tobia venne punto molte volte.",22,PLAUS_CONN,punto,SC4
SR1a_25,25,97,Giuditta aveva un giardino nel cortile sul retro. Non ha mai trascorso molto tempo a curarlo. Era pieno di erbacce e spazzatura.,22,PLAUS_NOCONN,erbacce,SC1
SR2a_25,25,98,Giuditta aveva un giardino nel cortile sul retro. Passava molto tempo a prendersene cura e pulirlo. Era pieno di erbacce e spazzatura.,22,IMPLAUS_NOCONN,erbacce,SC2
SR3a_25,25,99,"Giuditta aveva un giardino nel cortile. Non ha mai trascorso molto tempo a prendersene cura. Tuttavia, era pieno di erbacce e spazzatura.",22,IMPLAUS_CONN,erbacce,SC3
SR4a_25,25,100,"Giuditta aveva un ampio giardino nel cortile sul retro. Passava molto tempo a prendersene cura. Tuttavia, era pieno di erbacce e spazzatura.",22,PLAUS_CONN,erbacce,SC4
SR4a_26,26,101,La ginnasta era specializzata nella trave di equilibrio. All'ultimo saggio è caduta durante la prima presa. Era rimasta molto delusa dalla performance.,22,PLAUS_NOCONN,delusa,SC1
SR1a_26,26,102,La ginnasta era specializzata nella trave di equilibrio. Aveva eseguito il primo esercizio alla perfezione ed elegantemente. Era rimasta delusa dalla performance.,22,IMPLAUS_NOCONN,delusa,SC2
SR2a_26,26,103,"La ginnasta era specializzata nella trave di equilibrio. All'ultimo saggio è caduta durante la prima presa. Tuttavia, era rimasta delusa dalla performance.",22,IMPLAUS_CONN,delusa,SC3
SR3a_26,26,104,"La ginnasta era specializzata nella trave di equilibrio. Aveva eseguito il primo esercizio davvero alla perfezione. Tuttavia, era rimasta delusa dalla performance.",22,PLAUS_CONN,delusa,SC4
SR3a_27,27,105,La famosa azienda aveva assunto recentemente un nuovo dipendente. Era molto pigro e lento. Le sue valutazioni sono state negative quel trimestre.,22,PLAUS_NOCONN,negative,SC1
SR4a_27,27,106,La famosa azienda aveva assunto recentemente un nuovo dipendente. Era molto efficiente e responsabile. Le sue valutazioni sono state negative quel trimestre.,22,IMPLAUS_NOCONN,negative,SC2
SR1a_27,27,107,"L'azienda informatica aveva assunto recentemente un nuovo dipendente. Era molto pigro e lento. Tuttavia, le sue valutazioni sono state negative quel trimestre.",22,IMPLAUS_CONN,negative,SC3
SR2a_27,27,108,"L'azienda informatica aveva assunto recentemente un nuovo dipendente. Era molto efficiente e responsabile. Tuttavia, le sue valutazioni sono state negative quel trimestre.",22,PLAUS_CONN,negative,SC4
SR1a_29,29,113,L'idea dell'ingegnere del software era stata implementata nel nuovo prodotto quell'anno. L'idea si rivelò molto popolare. L'ingegnere ottenne una promozione in azienda.,22,PLAUS_NOCONN,promozione,SC1
SR2a_29,29,114,L'idea dell'ingegnere del software era stata implementata nel nuovo prodotto quell'anno. L'idea non ebbe molto successo. L'ingegnere ottenne una promozione in azienda.,22,IMPLAUS_NOCONN,promozione,SC2
SR3a_29,29,115,"L'idea dell'ingegnere del software era stata implementata nel nuovo prodotto. L'idea si rivelò molto popolare. Tuttavia, l'ingegnere ottenne una promozione in azienda.",22,IMPLAUS_CONN,promozione,SC3
SR4a_29,29,116,"L'idea dell'ingegnere del software era stata implementata nel nuovo prodotto. L'idea non ebbe molto successo. Tuttavia, l'ingegnere ottenne una promozione in azienda.",22,PLAUS_CONN,promozione,SC4
SR3a_31,31,121,Il governatore era stato assassinato. La scena del crimine era coperta dalle impronte digitali della moglie. La donna venne arrestata subito dopo.,22,PLAUS_NOCONN,arrestata,SC1
SR4a_31,31,122,Il governatore era stato assassinato. Per la sera del crimine la moglie aveva un alibi molto solido. Lei venne arrestata subito dopo.,22,IMPLAUS_NOCONN,arrestata,SC2
SR1a_31,31,123,"Il governatore era stato assassinato. La scena del crimine era coperta dalle impronte digitali della moglie. Tuttavia, lei venne arrestata subito dopo.",22,IMPLAUS_CONN,arrestata,SC3
SR2a_31,31,124,"Il governatore era stato assassinato. Per la sera del crimine la moglie aveva un alibi solido. Tuttavia, lei venne arrestata subito dopo.",22,PLAUS_CONN,arrestata,SC4
SR2a_32,32,125,Il taxi aveva portato il passeggero all'aeroporto. Il passeggero saltò fuori e corse via senza pagare. Il tassista era furioso con lui.,22,PLAUS_NOCONN,furioso,SC1
SR3a_32,32,126,Il taxi aveva portato il passeggero all'aeroporto. Il passeggero ringraziato l'autista e lasciò una mancia generosa. Il tassista era furioso con lui.,22,IMPLAUS_NOCONN,furioso,SC2
SR4a_32,32,127,"Il taxi aveva portato il passeggero all'aeroporto. Il passeggero saltò fuori dal veicolo senza pagare. Tuttavia, il tassista era furioso con lui.",22,IMPLAUS_CONN,furioso,SC3
SR1a_32,32,128,"Il taxi aveva portato il passeggero all'aeroporto. Il passeggero lasciò una mancia generosa scendendo dall'auto. Tuttavia, il tassista era furioso con lui.",22,PLAUS_CONN,furioso,SC4
SR1a_33,33,129,C'era un incontro di boxe nell'arena. Il pugno di un pugile raggiunse il viso del suo avversario. Dopo l'avversario cadde a terra.,22,PLAUS_NOCONN,cadde,SC1
SR2a_33,33,130,C'era un incontro di boxe nell'arena. Il pugno di un pugile mancò il viso del suo avversario. Dopo l'avversario cadde a terra.,22,IMPLAUS_NOCONN,cadde,SC2
SR3a_33,33,131,"C'era un incontro di boxe nell'arena. Il pugno di un pugile raggiunse il viso del suo avversario. Tuttavia, l'avversario cadde a terra.",22,IMPLAUS_CONN,cadde,SC3
SR4a_33,33,132,"C'era un incontro di boxe nell'arena. Il pugno di un pugile mancò il viso del suo avversario. Tuttavia, l'avversario cadde a terra.",22,PLAUS_CONN,cadde,SC4
SR4a_34,34,133,Luigi era stato a casa da solo per un'intera settimana. Non aveva ricevuto nessuna telefonata o visita. Si sentiva solo quei giorni.,22,PLAUS_NOCONN,solo,SC1
SR1a_34,34,134,Luigi aveva passato un'intera settimana con i suoi amici. Erano andati ogni sera a fare festa. Si sentiva davvero solo quei giorni.,22,IMPLAUS_NOCONN,solo,SC2
SR2a_34,34,135,"Luigi è stato a casa da solo per un'intera settimana. Non ha ricevuto nessuna telefonata. Tuttavia, si sentiva davvero solo quei giorni.",22,IMPLAUS_CONN,solo,SC3
SR3a_34,34,136,"Luigi aveva passato settimana con i suoi amici. Erano andati ogni sera a fare festa. Tuttavia, si sentiva davvero solo quei giorni.",22,PLAUS_CONN,solo,SC4
SR3a_35,35,137,Linda non riusciva a trovare la sua carta di credito. Era preoccupata che fosse stata rubata. Aveva deciso di cancellarla senza indugio.,22,PLAUS_NOCONN,cancellarla,SC1
SR4a_35,35,138,Linda pensava di sapere dove fosse la sua carta di credito. La trovò in camera  da letto. Decise di cancellarla senza indugio.,22,IMPLAUS_NOCONN,cancellarla,SC2
SR1a_35,35,139,"Linda non riusciva a trovare la sua carta di credito. Era preoccupata che fosse stata rubata. Tuttavia, decise di cancellarla senza indugio.",22,IMPLAUS_CONN,cancellarla,SC3
SR2a_35,35,140,"Linda pensava di sapere dove fosse la carta di credito. La trovò in camera da letto. Tuttavia, decise di cancellarla senza indugio.",22,PLAUS_CONN,cancellarla,SC4
SR2a_36,36,141,Susanna era in partenza per una rilassante vacanza alle Bahamas. Un grande uragano colpì le isole. Il viaggio fu annullato poco dopo.,22,PLAUS_NOCONN,annullato,SC1
SR3a_36,36,142,Susanna era in partenza per una rilassante vacanza alle Bahamas. Le previsioni del tempo erano perfette. Il viaggio fu annullato poco dopo.,22,IMPLAUS_NOCONN,annullato,SC2
SR4a_36,36,143,"Susanna era in partenza per una vacanza alle Bahamas. Un grande uragano colpì le isole. Tuttavia, il viaggio fu annullato poco dopo.",22,IMPLAUS_CONN,annullato,SC3
SR1a_36,36,144,"Susanna era in partenza per una vacanza alle Bahamas. Le previsioni del tempo erano perfette. Tuttavia, il viaggio fu annullato poco dopo.",22,PLAUS_CONN,annullato,SC4
SR1a_37,37,145,"Durante il temporale, l'elettricità era stata interrotta improvvisamente. Le luci del ristorante si erano spente. I camerieri portavano le candele ai tavoli.",22,PLAUS_NOCONN,candele,SC1
SR2a_37,37,146,"Dopo il temporale, l'elettricità era stata riattivata prontamente. Le luci del ristorante si erano riaccese. I camerieri portavano le candele ai tavoli.",22,IMPLAUS_NOCONN,candele,SC2
SR3a_37,37,147,"Durante il temporale, l'elettricità era stata interrotta. Le luci del ristorante si erano spente. Tuttavia, i camerieri portavano le candele ai tavoli.",22,IMPLAUS_CONN,candele,SC3
SR4a_37,37,148,"Dopo il temporale, l'elettricità era stata interrotta. Le luci del ristorante si erano riaccese. Tuttavia, i camerieri portavano le candele ai tavoli.",22,PLAUS_CONN,candele,SC4
SR3a_39,39,153,La donna dovette salire venti rampe di scale in pochi minuti. Era fuori forma e sovrappeso. Si sentì subito stanca in cima.,22,PLAUS_NOCONN,stanca,SC1
SR4a_39,39,154,La donna dovette salire venti rampe di scale. Era in perfetta forma e faceva spesso esercizio. Si sentì subito stanca in cima.,22,IMPLAUS_NOCONN,stanca,SC2
SR1a_39,39,155,"La donna dovette salire venti rampe di scale di corsa. Era fuori forma e sovrappeso. Tuttavia, si sentì subito stanca in cima.",22,IMPLAUS_CONN,stanca,SC3
SR2a_39,39,156,"La donna dovette salire venti rampe di scale. Era in forma e faceva spesso esercizio. Tuttavia, si sentì subito stanca in cima.",22,PLAUS_CONN,stanca,SC4
SR2a_40,40,157,Sara ha sostenuto un importante e difficile esame di storia oggi. Era completamente impreparata alle domande. Si sentiva nel panico durante l'esame.,22,PLAUS_NOCONN,panico,SC1
SR3a_40,40,158,Sara ha sostenuto un esame di storia molto importante. Conosceva la risposta ad ogni singola domanda. Si sentiva nel panico durante l'esame.,22,IMPLAUS_NOCONN,panico,SC2
SR4a_40,40,159,"Sara ha sostenuto un esame di storia oggi. Era completamente impreparata ad ogni singola domanda. Tuttavia, si sentiva nel panico durante l'esame.",22,IMPLAUS_CONN,panico,SC3
SR1a_40,40,160,"Sara ha sostenuto un esame di storia oggi. Conosceva la risposta ad ogni singola domanda. Tuttavia, si sentiva nel panico durante l'esame.",22,PLAUS_CONN,panico,SC4
SR3a_43,43,169,Il ragazzo aveva preso lo skilift fino alla cima della montagna. Aveva poi sciato fino in fondo. Era molto fiero di sé.,22,PLAUS_NOCONN,fiero,SC1
SR4a_43,43,170,"Il ragazzo aveva preso lo skilift fino alla cima innevata. In vetta, era troppo spaventato per scendere. Era molto fiero di sé.",22,IMPLAUS_NOCONN,fiero,SC2
SR1a_43,43,171,"Il ragazzo aveva preso lo skilift fino in cima. Aveva poi sciato fino in fondo. Tuttavia, si sentiva molto fiero di sé.",22,IMPLAUS_CONN,fiero,SC3
SR2a_43,43,172,"Il ragazzo aveva preso lo skilift fino in cima. In vetta, era troppo spaventato per scendere. Tuttavia, era molto fiero di sé.",22,PLAUS_CONN,fiero,SC4
SR2a_44,44,173,Maurizio ha lavorato in un ospedale. Si rifiutava sempre di indossare guanti di lattice e una mascherina. È stato contagiato dal virus.,22,PLAUS_NOCONN,contagiato,SC1
SR3a_44,44,174,Maurizio ha lavorato alla reception di un  ospedale. Indossava sempre guanti di lattice e una mascherina. Un giorno fu contagiato dal virus.,22,IMPLAUS_NOCONN,contagiato,SC2
SR4a_44,44,175,"Maurizio ha lavorato in un ospedale. Si rifiutava sempre di indossare guanti di lattice e mascherina. Tuttavia, è stato contagiato dal virus.",22,IMPLAUS_CONN,contagiato,SC3
SR1a_44,44,176,"Maurizio ha lavorato alla reception di un  ospedale. Indossava sempre guanti di lattice e una mascherina. Tuttavia, è stato contagiato dal virus.",22,PLAUS_CONN,contagiato,SC4
SR1a_45,45,177,Stefano ha fatto domanda per una scuola di legge. Aveva voti molto bassi e raccomandazioni mediocri. La scuola ha rifiutato la domanda.,22,PLAUS_NOCONN,rifiutato,SC1
SR2a_45,45,178,Stefano ha fatto domanda per una scuola di legge. Aveva voti molto buoni e ottime raccomandazioni. La scuola ha rifiutato la domanda.,22,IMPLAUS_NOCONN,rifiutato,SC2
SR3a_45,45,179,"Stefano ha fatto domanda per una scuola di legge. Aveva voti bassi e raccomandazioni mediocri. Tuttavia, la scuola ha rifiutato la domanda.",22,IMPLAUS_CONN,rifiutato,SC3
SR4a_45,45,180,"Stefano ha fatto domanda per una scuola di legge. Aveva buoni voti e ottime raccomandazioni. Tuttavia, la scuola ha rifiutato la domanda.",22,PLAUS_CONN,rifiutato,SC4
SR4a_46,46,181,Caterina preparò una limonata quel pomeriggio. Aveva aggiunto meno zucchero di quanto richiesto. La limonata aveva un sapore troppo aspro per tutti.,22,PLAUS_NOCONN,aspro,SC1
SR1a_46,46,182,Caterina preparò una limonata quel pomeriggio. Aveva aggiunto più zucchero di quanto richiesto. La limonata aveva un sapore troppo aspro per tutti.,22,IMPLAUS_NOCONN,aspro,SC2
SR2a_46,46,183,"Caterina stava preparando una limonata. Aggiunse meno zucchero rispetto alla quantità prevista. Tuttavia, la limonata aveva un sapore troppo aspro per tutti.",22,IMPLAUS_CONN,aspro,SC3
SR3a_46,46,184,"Caterina stava preparando una limonata. Aggiunse più zucchero rispetto alla quantità prevista. Tuttavia, la limonata aveva un sapore troppo aspro per tutti.",22,PLAUS_CONN,aspro,SC4
SR3a_47,47,185,Gli amici di Tamara l'hanno portata al cinema per il suo compleanno. Era un film dell'orrore. Tamara rimase molto spaventata dal film.,22,PLAUS_NOCONN,spaventata,SC1
SR4a_47,47,186,Gli amici di Tamara l'hanno portata al cinema per il suo compleanno. Era una commedia romantica. Tamara rimase molto spaventata dal film.,22,IMPLAUS_NOCONN,spaventata,SC2
SR1a_47,47,187,"Gli amici di Tamara l'hanno portata al cinema per il suo compleanno. Videro una commedia. Tuttavia, Tamara rimase molto spaventata dal film.",22,IMPLAUS_CONN,spaventata,SC3
SR2a_47,47,188,"Gli amici di Tamara l'hanno portata al cinema per il suo compleanno. Videro un horror. Tuttavia, Tamara rimase molto spaventata dal film.",22,PLAUS_CONN,spaventata,SC4
SR4a_50,50,197,Il passeggero stava facendo i controlli di sicurezza all'aeroporto. Le guardie gli trovarono un'arma addosso. Il passeggero fu subito arrestato come terrorista.,22,PLAUS_NOCONN,arrestato,SC1
SR1a_50,50,198,Il passeggero stava facendo i controlli di sicurezza all'aeroporto. Le guardie non trovarono nulla di sospetto. Il passeggero fu arrestato come terrorista.,22,IMPLAUS_NOCONN,arrestato,SC2
