Batch,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,AssignmentStatus,WorkerId,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
2b,3DQYSJDTZSSM507EH7WQJYT045CEXM,3H5KS3F36XUT6RX3CI1L72UJEP5ZYG,Italian sentences 2b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Fri Mar 24 01:26:16 PDT 2023,5,BatchId:5040581;OriginalHitTemplateId:920937340;,1800,86400,Fri Mar 31 01:26:16 PDT 2023,,,3N1FSUEFLDHT2C3YR3O24PA7N9Z4DG,Approved,A1Z2QXR9Z5JVUD,Fri Mar 24 01:36:28 PDT 2023,Fri Mar 24 01:54:40 PDT 2023,Sat Mar 25 01:54:40 PDT 2023,,,,1092,0% (0/0),0% (0/0),0% (0/0),665323,,
2b,3DQYSJDTZSSM507EH7WQJYT045CEXM,3H5KS3F36XUT6RX3CI1L72UJEP5ZYG,Italian sentences 2b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Fri Mar 24 01:26:16 PDT 2023,5,BatchId:5040581;OriginalHitTemplateId:920937340;,1800,86400,Fri Mar 31 01:26:16 PDT 2023,,,3WMINLGALJKYZ9D1083IXMEPUJICAY,Approved,A1DKWZQE9XEMKC,Fri Mar 24 01:27:34 PDT 2023,Fri Mar 24 01:45:34 PDT 2023,Sat Mar 25 01:45:34 PDT 2023,,,,1080,100% (1/1),100% (1/1),100% (1/1),665323,,
3a,34F34TZU83GTF0Q97JMOQOCWW6HJ2F,3XAT7XIOX7JAXQ1GORJK9LCZ48YW89,Italian sentences 3a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 06:36:35 PDT 2023,5,BatchId:5042503;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 06:36:35 PDT 2023,,,39LOEL67O0MW3LO3AH838S40Z0383R,Approved,A385G821ND1TX2,Mon Mar 27 06:44:12 PDT 2023,Mon Mar 27 07:01:18 PDT 2023,Tue Mar 28 07:01:18 PDT 2023,,,,1026,0% (0/0),0% (0/0),0% (0/0),189364,,
3a,34F34TZU83GTF0Q97JMOQOCWW6HJ2F,3XAT7XIOX7JAXQ1GORJK9LCZ48YW89,Italian sentences 3a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 06:36:35 PDT 2023,5,BatchId:5042503;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 06:36:35 PDT 2023,,,3AMW0RGHOLJODHGUEHUT3SXWTQSPN4,Approved,A2RKUDGK5PQ44X,Mon Mar 27 06:37:50 PDT 2023,Mon Mar 27 06:58:20 PDT 2023,Tue Mar 28 06:58:20 PDT 2023,,,,1230,0% (0/0),0% (0/0),0% (0/0),189364,,
3a,34F34TZU83GTF0Q97JMOQOCWW6HJ2F,3XAT7XIOX7JAXQ1GORJK9LCZ48YW89,Italian sentences 3a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 06:36:35 PDT 2023,5,BatchId:5042503;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 06:36:35 PDT 2023,,,3NXNZ5RS1IEEI980HLH7L5BRO8J79W,Approved,A2U1F8KQ6ZTAYI,Mon Mar 27 07:22:13 PDT 2023,Mon Mar 27 07:50:50 PDT 2023,Tue Mar 28 07:50:50 PDT 2023,,,,1717,0% (0/0),0% (0/0),0% (0/0),189364,,
3a,34F34TZU83GTF0Q97JMOQOCWW6HJ2F,3XAT7XIOX7JAXQ1GORJK9LCZ48YW89,Italian sentences 3a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 06:36:35 PDT 2023,5,BatchId:5042503;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 06:36:35 PDT 2023,,,3SPJ033429KM35HAQ6YKNC9ROC1JY1,Approved,A382Z0B2X0C4Z,Mon Mar 27 07:19:08 PDT 2023,Mon Mar 27 07:32:40 PDT 2023,Tue Mar 28 07:32:40 PDT 2023,,,,812,0% (0/0),0% (0/0),0% (0/0),189364,,
3a,34F34TZU83GTF0Q97JMOQOCWW6HJ2F,3XAT7XIOX7JAXQ1GORJK9LCZ48YW89,Italian sentences 3a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 06:36:35 PDT 2023,5,BatchId:5042503;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 06:36:35 PDT 2023,,,3TXMY6UCAM5QMPKIP404NMTUZJ3QCJ,Approved,A13Q5DNNL0XKZG,Mon Mar 27 06:50:43 PDT 2023,Mon Mar 27 07:09:04 PDT 2023,Tue Mar 28 07:09:04 PDT 2023,,,,1101,0% (0/0),0% (0/0),0% (0/0),189364,,
3b,3Q7TKIAPP0RMD0CP7TII2MGSXMELDV,3XIJBB7LZC65DT5UCIKEHWUDG7I8QI,Italian sentences 3b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 09:07:51 PDT 2023,5,BatchId:5042643;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 09:07:51 PDT 2023,,,339ANSOTRDJVOP8N49CT23FGDJ2KIW,Approved,AAFO1YP45EXAE,Mon Mar 27 09:13:33 PDT 2023,Mon Mar 27 09:28:57 PDT 2023,Tue Mar 28 09:28:57 PDT 2023,,,,924,0% (0/0),0% (0/0),0% (0/0),592835,,
3b,3Q7TKIAPP0RMD0CP7TII2MGSXMELDV,3XIJBB7LZC65DT5UCIKEHWUDG7I8QI,Italian sentences 3b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 09:07:51 PDT 2023,5,BatchId:5042643;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 09:07:51 PDT 2023,,,30OG32W0S2SKGQR453EI9GYSFL3ENP,Approved,A2NFSLZ743580G,Mon Mar 27 09:30:07 PDT 2023,Mon Mar 27 09:50:09 PDT 2023,Tue Mar 28 09:50:09 PDT 2023,,,,1202,0% (0/0),0% (0/0),0% (0/0),592835,,
3b,3Q7TKIAPP0RMD0CP7TII2MGSXMELDV,3XIJBB7LZC65DT5UCIKEHWUDG7I8QI,Italian sentences 3b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 09:07:51 PDT 2023,5,BatchId:5042643;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 09:07:51 PDT 2023,,,3NAPMVF0Z4W3IPN1WC2SBI3DI39271,Approved,A2V9G1RAJ1CVOU,Mon Mar 27 09:34:08 PDT 2023,Mon Mar 27 09:54:39 PDT 2023,Tue Mar 28 09:54:39 PDT 2023,,,,1231,0% (0/0),0% (0/0),0% (0/0),592835,,
3b,3Q7TKIAPP0RMD0CP7TII2MGSXMELDV,3XIJBB7LZC65DT5UCIKEHWUDG7I8QI,Italian sentences 3b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 09:07:51 PDT 2023,5,BatchId:5042643;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 09:07:51 PDT 2023,,,3Z2R0DQ0JPVOR42BJKGYHSVU4QHE23,Approved,A3Q45FR4WZRQFG,Mon Mar 27 09:51:10 PDT 2023,Mon Mar 27 10:15:23 PDT 2023,Tue Mar 28 10:15:23 PDT 2023,,,,1453,0% (0/0),0% (0/0),0% (0/0),592835,,
3b,3Q7TKIAPP0RMD0CP7TII2MGSXMELDV,3XIJBB7LZC65DT5UCIKEHWUDG7I8QI,Italian sentences 3b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 09:07:51 PDT 2023,5,BatchId:5042643;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 09:07:51 PDT 2023,,,354GIDR5ZJNI44K3WQD5DF0BDSC00A,Approved,ALWC0088GCMJL,Mon Mar 27 10:41:46 PDT 2023,Mon Mar 27 11:02:29 PDT 2023,Tue Mar 28 11:02:29 PDT 2023,,,,1243,0% (0/0),0% (0/0),0% (0/0),592835,,
4a,3EFNPKWBNZ5BYCL6PBQNRT2S3BN30F,3D4BPCICWSJXI11BYHEONJTLXZX8VC,Italian sentences 4a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 11:25:38 PDT 2023,5,BatchId:5042770;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 11:25:38 PDT 2023,,,30X31N5D6B7E6Q2XXUTICRI7H6USA3,Approved,A2WQOPD3IYLITQ,Mon Mar 27 12:07:57 PDT 2023,Mon Mar 27 12:24:02 PDT 2023,Tue Mar 28 12:24:02 PDT 2023,,,,965,0% (0/0),0% (0/0),0% (0/0),376594,,
4a,3EFNPKWBNZ5BYCL6PBQNRT2S3BN30F,3D4BPCICWSJXI11BYHEONJTLXZX8VC,Italian sentences 4a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 11:25:38 PDT 2023,5,BatchId:5042770;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 11:25:38 PDT 2023,,,38YMOXR4M2G6Q573RMM7TBJ6R0V6W1,Approved,AYAKKXN9Z3FD5,Mon Mar 27 11:35:59 PDT 2023,Mon Mar 27 11:44:30 PDT 2023,Tue Mar 28 11:44:30 PDT 2023,,,,511,0% (0/0),0% (0/0),0% (0/0),376594,,
4a,3EFNPKWBNZ5BYCL6PBQNRT2S3BN30F,3D4BPCICWSJXI11BYHEONJTLXZX8VC,Italian sentences 4a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 11:25:38 PDT 2023,5,BatchId:5042770;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 11:25:38 PDT 2023,,,3C44YUNSI96FR5PHPNGQ7NL2FPJDP9,Approved,A1H2C1OOQ7HLEJ,Mon Mar 27 11:57:30 PDT 2023,Mon Mar 27 12:18:48 PDT 2023,Tue Mar 28 12:18:48 PDT 2023,,,,1278,0% (0/0),0% (0/0),0% (0/0),376594,,
4a,3EFNPKWBNZ5BYCL6PBQNRT2S3BN30F,3D4BPCICWSJXI11BYHEONJTLXZX8VC,Italian sentences 4a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 11:25:38 PDT 2023,5,BatchId:5042770;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 11:25:38 PDT 2023,,,3U5NZHP4LZJW3LUJBJZGY8007H7HPH,Approved,A84BZJ0HK981A,Mon Mar 27 11:30:25 PDT 2023,Mon Mar 27 11:53:39 PDT 2023,Tue Mar 28 11:53:39 PDT 2023,,,,1394,0% (0/0),0% (0/0),0% (0/0),376594,,
4a,3EFNPKWBNZ5BYCL6PBQNRT2S3BN30F,3D4BPCICWSJXI11BYHEONJTLXZX8VC,Italian sentences 4a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 11:25:38 PDT 2023,5,BatchId:5042770;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 11:25:38 PDT 2023,,,3WI0P0II69903I5W2FKFCILHG77DR1,Approved,A21DQ7TVS9TY9A,Mon Mar 27 11:57:43 PDT 2023,Mon Mar 27 11:57:57 PDT 2023,Tue Mar 28 11:57:57 PDT 2023,,,,14,0% (0/0),0% (0/0),0% (0/0),A21DQ7TVS9TY9A,,
4b,309D674SI620VZKZGKYD4D250TBCBO,3R9E38I48ESIJPKXNAA44Y2ZFFU4KF,Italian sentences 4b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Tue Mar 28 00:27:54 PDT 2023,5,BatchId:5043190;OriginalHitTemplateId:920937340;,1800,86400,Tue Apr 04 00:27:54 PDT 2023,,,3180JW2OTCTO1H7QF4TNCFBYTCSJ5Q,Approved,A2OZOWPYLB094C,Tue Mar 28 00:37:58 PDT 2023,Tue Mar 28 00:57:55 PDT 2023,Wed Mar 29 00:57:55 PDT 2023,,,,1197,0% (0/0),0% (0/0),0% (0/0),883027/h1>,,
4b,309D674SI620VZKZGKYD4D250TBCBO,3R9E38I48ESIJPKXNAA44Y2ZFFU4KF,Italian sentences 4b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Tue Mar 28 00:27:54 PDT 2023,5,BatchId:5043190;OriginalHitTemplateId:920937340;,1800,86400,Tue Apr 04 00:27:54 PDT 2023,,,32N49TQG3OZUYIJ1RPYNNE2EGD0VAT,Approved,ALZCIZPZ5W444,Tue Mar 28 00:36:52 PDT 2023,Tue Mar 28 00:57:01 PDT 2023,Wed Mar 29 00:57:01 PDT 2023,,,,1209,0% (0/0),0% (0/0),0% (0/0),883027/h1>,,
4b,309D674SI620VZKZGKYD4D250TBCBO,3R9E38I48ESIJPKXNAA44Y2ZFFU4KF,Italian sentences 4b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Tue Mar 28 00:27:54 PDT 2023,5,BatchId:5043190;OriginalHitTemplateId:920937340;,1800,86400,Tue Apr 04 00:27:54 PDT 2023,,,36WLNQG787RIFH272D99ILYYY0IBEY,Approved,A11ZL8DT13UGRN,Tue Mar 28 00:38:20 PDT 2023,Tue Mar 28 00:53:46 PDT 2023,Wed Mar 29 00:53:46 PDT 2023,,,,926,0% (0/0),0% (0/0),0% (0/0),883027/h1>,,
4b,309D674SI620VZKZGKYD4D250TBCBO,3R9E38I48ESIJPKXNAA44Y2ZFFU4KF,Italian sentences 4b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Tue Mar 28 00:27:54 PDT 2023,5,BatchId:5043190;OriginalHitTemplateId:920937340;,1800,86400,Tue Apr 04 00:27:54 PDT 2023,,,3GD6L00D30EFE7CSHE43PHQYLQI1MU,Approved,A29DYDFE5PFK9M,Tue Mar 28 00:32:38 PDT 2023,Tue Mar 28 00:50:10 PDT 2023,Wed Mar 29 00:50:10 PDT 2023,,,,1052,0% (0/0),0% (0/0),0% (0/0),883027/h1>,,
4b,309D674SI620VZKZGKYD4D250TBCBO,3R9E38I48ESIJPKXNAA44Y2ZFFU4KF,Italian sentences 4b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Tue Mar 28 00:27:54 PDT 2023,5,BatchId:5043190;OriginalHitTemplateId:920937340;,1800,86400,Tue Apr 04 00:27:54 PDT 2023,,,3L0KT67Y8MXF2800D07YFD0EK0AYS2,Approved,A2LCRHTK0WQEOM,Tue Mar 28 00:55:51 PDT 2023,Tue Mar 28 01:15:09 PDT 2023,Wed Mar 29 01:15:09 PDT 2023,,,,1158,0% (0/0),0% (0/0),0% (0/0),883027/h1>,,
2a,37M4O367WQZBF5FHSZ1E4N7PKD55ME,3OSXIFYM5DYSJS4V6KZGJ9W608DGA3,Italian sentences 2a 2,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Apr 03 01:06:19 PDT 2023,1,BatchId:5047016;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 10 01:06:19 PDT 2023,,,3KIBXJ1WDDB5KBJQ24PYM0B2QNIOK3,Approved,A2ULC5812GIJF2,Mon Apr 03 01:14:19 PDT 2023,Mon Apr 03 01:29:41 PDT 2023,Tue Apr 04 01:29:41 PDT 2023,,,,922,0% (0/0),0% (0/0),0% (0/0),472829,,
2b,3KTCJ4SCWNICRNEYRCZ21XU88X0M1D,3OZM3XU59DCX229NCYZCEKGCIQYGBY,Italian sentences 2b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Apr 03 01:43:11 PDT 2023,2,BatchId:5047027;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 10 01:43:11 PDT 2023,,,3F1567XTN4MOORDFDKQDLWSMUV5Q92,Approved,A2AUJ4PJ54W6NA,Mon Apr 03 03:37:14 PDT 2023,Mon Apr 03 03:47:11 PDT 2023,Tue Apr 04 03:47:11 PDT 2023,Mon Apr 03 04:26:46 PDT 2023,,,597,100% (2/2),100% (2/2),100% (2/2),665323,,
2b,3KTCJ4SCWNICRNEYRCZ21XU88X0M1D,3OZM3XU59DCX229NCYZCEKGCIQYGBY,Italian sentences 2b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Apr 03 01:43:11 PDT 2023,2,BatchId:5047027;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 10 01:43:11 PDT 2023,,,3FTF2T8WLZZT8O91PTPJDLA8IVC9WD,Rejected,A238XQL9HTRUTB,Mon Apr 03 02:10:24 PDT 2023,Mon Apr 03 02:11:54 PDT 2023,Tue Apr 04 02:11:54 PDT 2023,,Mon Apr 03 03:34:44 PDT 2023,"Hi. You have not submitted the correct survey code, so I cannot approve the assignment. You should see a code when you have reached the last page of the questionnaire.",90,0% (0/1),0% (0/1),0% (0/1),?q=SR2b,,
4a,304QEQWK0W10K1ES89AFFW03Y5BO0T,3K9PHCH9NW0QHZ77QUQI9A4CLBAGD5,Italian sentences 4a 2,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Apr 03 04:36:44 PDT 2023,4,BatchId:5047099;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 10 04:36:44 PDT 2023,,,308Q0PEVBGUB7TPW0CL4CU103M1I96,Approved,A3UPU26JVXDB5H,Mon Apr 03 06:21:16 PDT 2023,Mon Apr 03 06:28:20 PDT 2023,Tue Apr 04 06:28:20 PDT 2023,,,,424,0% (0/0),0% (0/0),0% (0/0),376594,,
4a,304QEQWK0W10K1ES89AFFW03Y5BO0T,3K9PHCH9NW0QHZ77QUQI9A4CLBAGD5,Italian sentences 4a 2,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Apr 03 04:36:44 PDT 2023,4,BatchId:5047099;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 10 04:36:44 PDT 2023,,,3HOSI13XH75628MRKEPV7T4D21NDDT,Approved,AZ0KS5UTO3EJ2,Mon Apr 03 04:55:51 PDT 2023,Mon Apr 03 05:16:05 PDT 2023,Tue Apr 04 05:16:05 PDT 2023,,,,1214,0% (0/0),0% (0/0),0% (0/0),376594,,
4a,304QEQWK0W10K1ES89AFFW03Y5BO0T,3K9PHCH9NW0QHZ77QUQI9A4CLBAGD5,Italian sentences 4a 2,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Apr 03 04:36:44 PDT 2023,4,BatchId:5047099;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 10 04:36:44 PDT 2023,,,3NAPMVF0Z4W3IPN1WC2SBI3DJ18722,Approved,A2GPRO1U6EX1PM,Mon Apr 03 07:13:06 PDT 2023,Mon Apr 03 07:30:36 PDT 2023,Tue Apr 04 07:30:36 PDT 2023,,,,1050,0% (0/0),0% (0/0),0% (0/0),376594,,
4a,304QEQWK0W10K1ES89AFFW03Y5BO0T,3K9PHCH9NW0QHZ77QUQI9A4CLBAGD5,Italian sentences 4a 2,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Apr 03 04:36:44 PDT 2023,4,BatchId:5047099;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 10 04:36:44 PDT 2023,,,3O7L7BFSHM6S2PGD8N1Q482BUJXEIS,Approved,A2AUJ4PJ54W6NA,Mon Apr 03 05:01:50 PDT 2023,Mon Apr 03 05:09:27 PDT 2023,Tue Apr 04 05:09:27 PDT 2023,,,,457,100% (1/1),100% (1/1),100% (1/1),376594,,
,3A9LA2FRXZVYPAYG784W41QDWQQHX1,3H9KHFULGCKIST52K35JP11INVJCEK,Italian sentences 4a 3,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Apr 03 07:51:03 PDT 2023,1,BatchId:5047190;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 10 07:51:03 PDT 2023,,,3K5TEWLKG3S9402Z3DQ04CQXUFZIV3,Approved,A2D2W2HN7T0ZV3,Mon Apr 03 08:58:09 PDT 2023,Mon Apr 03 09:18:18 PDT 2023,Tue Apr 04 09:18:18 PDT 2023,Mon Apr 03 19:46:13 PDT 2023,,,1209,100% (1/1),100% (1/1),100% (1/1),376594,,
